inspire_id,title,start_date,end_date,url
3131281,Vacuum Decay and Matter Production: From Intense Lasers to Curved Spacetimes and Analogue Platforms,2026-06-04,2026-06-05,https://inspirehep.net/conferences/3131281
3138770,CAU-IBS Beyond the Standard Model Workshop,2026-06-07,2026-06-11,https://indico.cern.ch/event/1658076/
2964459,"16th International Conference on Beauty, Charm, Hyperons in Hadronic Interactions",2026-06-08,2026-06-12,https://indico.cern.ch/event/1537617/
3075148,Higgs and Effective Field Theory 2026 (HEFT 2026),2026-06-08,2026-06-12,https://indico.cern.ch/event/1609241/
3105639,"4th Joint ECFA-NuPECC-APPEC Activity Workshop ""Synergies between the EIC and the LHC""",2026-06-08,2026-06-10,https://agenda.infn.it/event/49145/
3109682,International Workshop on $e^+e^-$   Collisions from Phi to Psi,2026-06-08,2026-06-11,https://indico.sns.it/event/140/
3113225,INFN School of Statistics 2026,2026-06-14,2026-06-19,https://agenda.infn.it/event/46370
3095739,66th Cracow School of Theoretical Physics,2026-06-14,2026-06-19,https://th-www.if.uj.edu.pl/school/2026/
3123096,Flavour Physics at the LHC School 2026,2026-06-15,2026-06-19,https://indico.cern.ch/event/1606446/overview
3130427,16th Particle Physics Phenomenology Workshop (PPP16),2026-06-15,2026-06-18,https://indico.phys.nthu.edu.tw/event/173/
3139029,BiCoQ conference: from gravity to particles,2026-06-15,2026-06-19,https://indico.global/event/16054
3080823,QCD@Work 2026 - International Workshop on Quantum Chromodynamics - Theory and Experiment,2026-06-16,2026-06-19,https://agenda.infn.it/event/48587/
3072918,4th Training School of the COST Action CA21106: Cosmic WISPers,2026-06-17,2026-06-20,https://inspirehep.net/conferences/3072918
3118882,CLFV2026 - The 5th International Conference on Charged Lepton Flavor Violation,2026-06-17,2026-06-19,https://agenda.infn.it/event/49750/overview
3104474,2026 European School of High-Energy Physics,2026-06-19,2026-07-02,https://indico.cern.ch/e/ESHEP2026
3109713,2026 European School of High-Energy Physics (ESHEP 2026),2026-06-19,2026-07-02,https://indico.cern.ch/event/1613697/
2799188,13th International Conference on Hard and Electromagnetic Probes of High-Energy Nuclear Collisions,2026-06-21,2026-06-26,https://inspirehep.net/conferences/2799188
2834241,32nd International Conference on Neutrino Physics and Astrophysics,2026-06-22,2026-06-26,https://sites.uci.edu/neutrino2026/
3072917,4th General Meeting of the COST Action: Cosmic WISPers (CA21106),2026-06-22,2026-06-25,https://inspirehep.net/conferences/3072917
