alias,institution_name,notes,is_active
Berkeley,"University of California, Berkeley","Talk spreadsheet unmatched institution",true
CUNY,"City University of New York","Talk spreadsheet unmatched institution",true
Duke,"Duke University","Talk spreadsheet unmatched institution",true
Houston,"University of Houston","Talk spreadsheet unmatched institution",true
INFN Frascati,"Laboratori Nazionali di Frascati","Talk spreadsheet unmatched institution",true
INFN LNF,"Laboratori Nazionali di Frascati","Talk spreadsheet unmatched institution",true
INFN Pisa,"Istituto Nazionale di Fisica Nucleare, Pisa","Talk spreadsheet unmatched institution",true
KSU,"Kansas State University","Talk spreadsheet unmatched institution",true
Manchester,"University of Manchester","Talk spreadsheet unmatched institution",true
Minn,"University of Minnesota","Talk spreadsheet unmatched institution",true
Minnesota,"University of Minnesota","Talk spreadsheet unmatched institution",true
NIU,"Northern Illinois University","Talk spreadsheet unmatched institution",true
Northern Illinois,"Northern Illinois University","Talk spreadsheet unmatched institution",true
Pisa,"Istituto Nazionale di Fisica Nucleare, Pisa","Talk spreadsheet unmatched institution",true
Purdue,"Purdue University","Talk spreadsheet unmatched institution",true
South Alabama,"University of South Alabama","Talk spreadsheet unmatched institution",true
SouthAlabama,"University of South Alabama","Talk spreadsheet unmatched institution",true
SunYatSen,"Sun Yat-Sen University","Talk spreadsheet unmatched institution",true
UC Berkeley,"University of California, Berkeley","Talk spreadsheet unmatched institution",true
UC Berlekey,"University of California, Berkeley","Talk spreadsheet unmatched institution",true
UC Davis,"University of California, Davis","Talk spreadsheet unmatched institution",true
UC Irvine,"University of California, Irvine","Talk spreadsheet unmatched institution",true
UCDavis,"University of California, Davis","Talk spreadsheet unmatched institution",true
UCI,"University of California, Irvine","Talk spreadsheet unmatched institution",true
UCL,"University College London","Talk spreadsheet unmatched institution",true
Umich,"University of Michigan","Talk spreadsheet unmatched institution",true
Umichigan,"University of Michigan","Talk spreadsheet unmatched institution",true
UMichigan,"University of Michigan","Talk spreadsheet unmatched institution",true
Univ South Alabama,"University of South Alabama","Talk spreadsheet unmatched institution",true
Virginia,"University of Virginia","Talk spreadsheet unmatched institution",true
Yale,"Yale University","Talk spreadsheet unmatched institution",true
