speaker_last_name,speaker_first_name,speaker_home_institution_raw,matched_institution,occurrences
,,,,1
Ahmed,Waqar,Houston,University of Houston,1
Aji,Danile,University of Houston,University of Houston,1
Anthony,Palladino,Bobston University,Boston University,1
Archer,Avery,Purdue,Purdue University,1
Barker,Jana,FNAL,Fermi National Accelerator Laboratory,1
Bernstein,Bob,Fermilab,Fermi National Accelerator Laboratory,2
Bernstein,Bob,FNAL,Fermi National Accelerator Laboratory,2
Bob,Bernstein,Fermilab,Fermi National Accelerator Laboratory,1
Boi,Stephen,UVA,University of Virginia,1
Boi,Steve,FNAL,Fermi National Accelerator Laboratory,2
Boi,Steven,UVA,University of Virginia,1
Bono,Jason,Rice,Rice University,3
Bono,Jason,UMN,University of Minnesota,1
Bonventre,Richie,UC Berkeley,"University of California, Berkeley",1
Bonventre,Richie,UCBerkeley,"University of California, Berkeley",1
Bradascio,Frederica,FNAL,Fermi National Accelerator Laboratory,1
Branson,Rose,Yale,Yale University,1
Caiulo,Davide,Pisa,"Istituto Nazionale di Fisica Nucleare, Pisa",1
Caron,Jean-Francois,Houston,University of Houston,1
Casler,Helenka,York,York College/CUNY,2
Casler,Helenka,York/CUNY,York College/CUNY,1
Castiglia,Emma,Yale,Yale University,1
Chen,Jijun,Purdue,Purdue University,1
Cheng,Chih-Hisang,Caltech,California Institute of Technology,1
Ciampa,Kate,Uminn,University of Minnesota,1
Ciampa,Kate,UMinnesota,University of Minnesota,1
Danile,Aji,University of Houston,University of Houston,1
Devilbiss,Mackenzie,Umich,University of Michigan,1
Devilbiss,Mackenzie,UMichigan,University of Michigan,1
Devilbiss,Mackenzie,Umichigan,University of Michigan,1
Donghia,Raffaella,Frascati,Laboratori Nazionali di Frascati,1
Donghia,Raffaella,INFN LNF,Laboratori Nazionali di Frascati,1
Donghia,Raffaella,INFN/Roma Tre,"Instituto Nazionale di Fisica Nucleare, Roma",1
Donghia,Raffaella,LNF,Laboratori Nazionali di Frascati,1
Donghia,Raffaella,LNF and Roma Tre,"Instituto Nazionale di Fisica Nucleare, Roma",1
Edmonds,Andy,BU,Boston University,3
Edmonds,Andy,LBL,Lawrence Berkeley National Laboratory,1
Elementi,Luciano,FNAL,Fermi National Accelerator Laboratory,2
Elementi,Luciano,FNAL?,Fermi National Accelerator Laboratory,2
Farris,Peter,UVA,University of Virginia,1
Franco,Grancagnolo,Lecce,"Instituto Nazionale di Fisica Nucleare, Lecce",1
Gargiulo,Ruben,LNF,Laboratori Nazionali di Frascati,1
Giobanni,Tassielli,Lecce,"Instituto Nazionale di Fisica Nucleare, Lecce",1
Giovanni,Piacentino,Lecce,"Instituto Nazionale di Fisica Nucleare, Lecce",1
Giovanni,Tassielli,Lecce,"Instituto Nazionale di Fisica Nucleare, Lecce",2
Hansen,Sten,FNAL,Fermi National Accelerator Laboratory,1
Herman,Andrea,UCBerkeley,"University of California, Berkeley",1
Hitlin,Dave,CalTech,California Institute of Technology,1
Hitlin,Dave,Caltech,California Institute of Technology,4
https://indico.fnal.gov/event/45713/contributions/198492/,Nam,BU,Boston University,1
Huang,Shihua,Purdue,Purdue University,4
Jason,Bono,Rice,Rice University,1
Jim,Popp,York College,York College/CUNY,1
Kargiantoulakis,Manolis,FNAL,Fermi National Accelerator Laboratory,4
Kasper,Peter,Fermilab,Fermi National Accelerator Laboratory,1
Kibbee,Riley,UCDavis,"University of California, Davis",1
Knoepfel,Kyle,Fermilab,Fermi National Accelerator Laboratory,3
Koltick,Dave,Purdue,Purdue University,1
Laffan,Clair,Yale,Yale University,1
Lamm,Mike,FNAL,Fermi National Accelerator Laboratory,1
Lee,MyeoungJea,Berkeley,"University of California, Berkeley",1
Lee,MyeoungJea,LBNL,Lawrence Berkeley National Laboratory,1
Lopes,Mau,FNAL,Fermi National Accelerator Laboratory,1
Luca,Alessandra,FNAL,Fermi National Accelerator Laboratory,1
Marc,Buehler,Fermilab,Fermi National Accelerator Laboratory,1
Markus,Roehrken,CalTech,California Institute of Technology,2
Mike,Lamm,Fermilab,Fermi National Accelerator Laboratory,1
Miller,Jim,BU,Boston University,1
Miyashita,Tomo,Caltech,California Institute of Technology,3
Murat,Pasha,FNAL,Fermi National Accelerator Laboratory,1
Musk,William,UVa,University of Virginia,1
Orduna,Jesus,Rice,Rice University,1
Paesani,Daniele,LNF,Laboratori Nazionali di Frascati,2
Palladino,Anthony,Boston University,Boston University,1
Palladino,Anthony,BU,Boston University,2
Pettee,Mariel,Yale,Yale University,1
Pezullo,Giani,Yale,Yale University,3
Pezzullo,Giani,Pisa,"Istituto Nazionale di Fisica Nucleare, Pisa",2
Pezzulo,Giani,Yale,Yale University,1
Powers,Rose,Yale,Yale University,1
Quirk,John,BU,Boston University,2
Ray,Ron,Fermilab,Fermi National Accelerator Laboratory,1
Ray,Ron,FNAL,Fermi National Accelerator Laboratory,1
Richie,Bonvventre,UC Berlekey,"University of California, Berkeley",1
Roberts,Sydney,UVa,University of Virginia,1
Roehrken,Markus,Caltech,California Institute of Technology,1
Sanzani,Elisa,LNF,Laboratori Nazionali di Frascati,2
Shen,Xiaohe,LBNL,Lawrence Berkeley National Laboratory,1
Shi,Xiaobing,Purdue,Purdue University,1
Shresthra,Shruti,KSU,Kansas State University,1
Solt,Matthew,UVa,University of Virginia,1
Solt,Matthew,Uva,University of Virginia,1
Song,William,Berkeley,"University of California, Berkeley",1
Tassielli,Giovanni Francesco,INFN Lecce,"Instituto Nazionale di Fisica Nucleare, Lecce",1
Tomonari,Miyashita,Caltech,California Institute of Technology,1
Truong,Minh,CUNY,City University of New York,1
Truong,Nguyen,UC Davis,"University of California, Davis",1
Uzunyan,Sergey,NIU,Northern Illinois University,2
Varier,Digvijay Roy,UCBerkeley,"University of California, Berkeley",2
Vitali,Bastiano,INFN Pisa,"Istituto Nazionale di Fisica Nucleare, Pisa",1
Whalen,Michael,Yale,Yale University,1
Yucel,Mete,FNAL,Fermi National Accelerator Laboratory,7
